z_level_mm,grid_name,x_cmd_mm,y_cmd_mm,z_cmd_mm,floor_height_cmd_mm,is_reference_pose,reachable_ik,target_safe,path_safe,move_attempted,move_ok,reason,robot_x_mm,robot_y_mm,robot_z_mm,robot_phi_deg,overhead_visible,overhead_used_for_homography,overhead_u_raw_px,overhead_v_raw_px,overhead_u_used_px,overhead_v_used_px,overhead_theta_deg,overhead_samples,stereo_visible,stereo_x_mm,stereo_y_mm,stereo_z_mm,stereo_left_u_px,stereo_left_v_px,stereo_right_u_px,stereo_right_v_px,stereo_disparity_px,stereo_theta_deg,stereo_samples
0.0,z0_x100_y490,100.0,490.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,99.98119209340166,489.9823332822137,0.0,0.03158666525001763,False,False,,,,,,1,True,51.3628012854083,75.56493420374544,-423.6000285112892,379.9335791015625,340.1326525878906,310.82384521484374,340.6352380371094,69.10973388671874,44.143763264395986,25
0.0,z0_x120_y490,120.0,490.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,120.01966740009715,490.0199277778918,0.0,-0.062168379000041796,False,False,,,,,,0,True,38.353901864871034,77.75811901835772,-422.40107340563253,364.94017615685095,343.0755873460036,295.52001014122595,343.3220778245192,69.420166015625,46.05822144112164,26
0.0,z0_x140_y490,140.0,490.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,140.00422788517716,489.98169287881376,0.0,0.06209907200005205,False,False,,,,,,0,True,18.996609216679317,78.8796556293609,-424.9039896706065,342.14112458405674,343.961260760272,273.19045794451677,343.91071347837095,68.95066663953993,48.72451100599686,27
0.0,z0_x160_y490,160.0,490.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,159.98431329535435,490.01064564747617,0.0,-0.0526559932500561,False,False,,,,,,0,True,-0.6599327342856264,80.17812968077861,-426.6461729958619,319.13475623497595,345.1835233248197,250.87786571796124,344.5686293381911,68.25689051701472,51.94641494589887,26
0.0,z0_x180_y490,180.0,490.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,179.99035687140864,489.96663527693886,0.0,0.05061143675004587,False,False,,,,,,0,True,-20.464843467917333,80.30018188441167,-424.45509254425787,295.9198502760667,345.7035557673528,228.07196749173679,344.6081049992488,67.84788278432993,54.430194759326575,26
0.0,z0_x200_y490,200.0,490.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,200.01194024073945,490.0061255355454,0.0,-0.07814364250006633,False,False,,,,,,0,True,-40.08577978018947,81.09987423231671,-424.16989837619076,273.01990567720856,346.47630896935095,206.21441826453577,344.82493356557995,66.80548741267278,57.954591968278855,26
0.0,z0_x220_y490,220.0,490.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,220.00100483591874,490.01781282110653,0.0,0.02512378750002142,False,False,,,,,,0,True,-60.24947266583016,82.03924443173909,-427.9417415039938,250.3408966064453,346.3082486666166,185.47603137676532,344.286616398738,64.86486522967999,60.686764759310556,26
0.0,z0_x240_y490,240.0,490.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,239.97688424455418,490.0068322941515,0.0,-0.08963127775008672,False,False,,,,,,0,True,-79.95665848136537,82.85664721534447,-428.83882063056706,228.2758073073167,346.42230224609375,165.16865950364334,344.12513028658356,63.10714780367338,64.07764399391667,26
0.0,z0_x260_y490,260.0,490.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,260.0044823149658,489.99891657824526,0.0,0.020636159250017272,False,False,,,,,,0,True,-99.70562279508034,83.85182959505809,-428.576346351224,206.39312333327072,347.06842041015625,145.128170306866,344.01326810396637,61.26495302640475,67.48147940538497,26
0.0,z0_x280_y490,280.0,490.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,279.9855419642561,490.00346645879097,0.0,-0.0801188920000726,False,False,,,,,,1,True,-119.1960119745089,84.551558452489,-428.4820711019088,185.30407658329716,346.95679728190106,126.08562384711371,343.7036641438802,59.21845273618345,70.90859990960188,27
