run_timestamp,folder,datetime,date,script,place_scene,sequence_index,object_i,class_name,detection_class,detection_confidence,detection_bbox_x1,detection_bbox_y1,detection_bbox_x2,detection_bbox_y2,pick_x_mm,pick_y_mm,pick_z_mm,pick_grasp_z_mm,grasp_offset_mm,pick_phi_deg,place_x_mm,place_y_mm,place_phi_deg,destination_surface_z_mm,place_result,raw_size_x_mm,raw_size_y_mm,raw_size_z_mm,placed_box_label,watchdog_flags
20260531_153023,run_20260531_153023,2026-05-31T15:30:23,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,5,3,Dove Deodorant,Dove Deodorant,0.9833984375,115.375,156.625,238.0,265.5,258.4402692524327,430.82846729782614,-35.79226293119705,94.20773706880294,130.0,22.65178257669936,237.02664022869885,754.6666594230725,0.0,-176.75373579156144,placed,116.1856996389598,52.04613978057246,14.955451898234728,,
20260531_153023,run_20260531_153023,2026-05-31T15:30:23,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,6,4,Lays Chips,Lays Chips,0.9736328125,282.0,25.75,477.75,156.25,282.8476669496254,117.84484630681919,0.5600374440446956,130.5600374440447,130.0,126.39890339920001,237.02664022869885,754.6666594230725,0.0,-161.7982838933267,placed,173.96553370570902,110.89493468414148,38.29591205732888,,
20260531_153023,run_20260531_153023,2026-05-31T15:30:23,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,7,5,Bandaid,Bandaid,0.9658203125,261.0,140.25,420.5,280.0,149.82367539957608,272.28347225844254,-10.718740282993775,119.28125971700622,130.0,115.38014610221742,237.02664022869885,754.6666594230725,0.0,-123.5023718359978,placed,128.5893990161818,88.47230087268726,31.806364734535958,,
20260531_153023,run_20260531_153023,2026-05-31T15:30:23,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,8,6,Burts Bees,Burts Bees,0.9833984375,123.0,159.875,218.25,238.5,285.94377094136985,431.31188836952504,-41.746795037640084,88.25320496235992,130.0,0.48821399016341616,237.02664022869885,754.6666594230725,0.0,-91.69600710146186,placed,77.71957536205846,56.273396207624984,18.921143539510027,,
20260531_153023,run_20260531_153023,2026-05-31T15:30:23,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,9,7,Carmex Lip Balm,Carmex Lip Balm,0.9599609375,352.75,81.9375,437.5,156.25,241.08420614979576,130.1544551487528,-28.92835974707799,101.07164025292201,130.0,22.276968341321293,237.02664022869885,754.6666594230725,0.0,-72.77486356195183,placed,93.6127033898866,64.88552609025774,11.093233121416006,,
20260531_153023,run_20260531_153023,2026-05-31T15:30:23,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,10,8,Pringles,Pringles,0.466796875,267.5,114.25,369.5,235.0,193.32815312399524,283.12687417155064,29.810482987459046,159.81048298745904,130.0,16.60040028997298,237.02664022869885,754.6666594230725,0.0,-61.68163044053583,placed,92.48970858983103,64.52808390136659,41.14156493243024,,
20260531_153023,run_20260531_153023,2026-05-31T15:30:23,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,11,9,Burts Bees,Burts Bees,0.394287109375,287.75,93.4375,401.5,175.75,246.86381009453072,208.7595009925755,-12.561990588708762,117.43800941129123,130.0,170.69018616880783,237.02664022869885,754.6666594230725,0.0,-20.540065508105585,placed,109.34528938222775,65.29944690229078,32.04811606856988,,
20260531_153023,run_20260531_153023,2026-05-31T15:30:23,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,12,10,Pringles,Pringles,0.73095703125,443.25,87.5,557.5,229.5,74.48324687920467,123.82739627485758,93.23847684372309,223.2384768437231,130.0,179.93726277420032,237.02664022869885,754.6666594230725,0.0,11.508050560464298,placed,62.68752875891582,47.02834884738415,126.47648137953287,,
20260531_154435,run_20260531_154435,2026-05-31T15:44:35,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,0,1,Dove Deodorant,Dove Deodorant,0.9716796875,379.5,152.375,496.25,233.75,112.27912074792476,154.50361516344873,-28.47734165687823,101.52265834312178,130.0,2.0149617888026796,158.78587084992122,732.9841482933131,0.0,-155.0,placed,112.57174169984245,50.968296586626224,18.509714028453196,object1_placed,
20260531_154435,run_20260531_154435,2026-05-31T15:44:35,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,1,2,Chex Mix,Chex Mix,0.97802734375,124.3125,145.5,273.75,292.25,234.23752817619652,404.9851268749617,-21.31708535232056,108.68291464767944,130.0,53.42936049218373,,,,,pending,,,,,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,0,1,Pringles,Pringles,0.9755859375,343.0,78.25,422.0,197.0,182.87381390065207,205.2111021687528,62.05826841406803,192.05826841406804,130.0,27.89261880563319,286.3919313582079,734.3286615604109,90.0,-155.0,placed,63.65732312082167,52.21613671641573,111.04208490880369,object1_placed,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,1,2,Chex Mix,Chex Mix,0.984375,212.625,176.75,415.0,351.75,104.12325564756523,335.58795833060697,-9.809988119102831,120.19001188089717,130.0,117.50293677641528,180.32888081595738,753.8326923436667,0.0,-155.0,placed,145.65776163191475,97.3346146873335,31.533088482070134,object2_placed,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,2,3,Bandaid,Bandaid,0.939453125,292.5,116.75,424.25,216.0,185.43348036434392,223.93747817016333,-6.79239766584449,123.20760233415551,130.0,141.1026756025018,180.32888081595738,753.8326923436667,0.0,-123.46691151792987,placed,127.1319600791065,88.0393709772558,31.109186753403804,,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,3,4,Dove Deodorant,Dove Deodorant,0.98193359375,434.25,132.625,521.5,224.125,99.97180175470618,93.53276642056153,-31.759181248742998,98.240818751257,130.0,23.89583701876984,180.32888081595738,753.8326923436667,0.0,-92.35772476452607,placed,110.64567147986904,53.098946290611615,18.653117291260912,,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,4,5,Carmex Lip Balm,Carmex Lip Balm,0.96728515625,72.125,225.25,206.5,299.5,212.103496372949,486.7028531205701,-28.212215532558016,101.78778446744198,130.0,141.89689171892678,180.32888081595738,753.8326923436667,0.0,-73.70460747326516,placed,101.81681760092243,61.25104895436171,7.094994827333341,,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,5,1,Lays Chips,Lays Chips,0.92822265625,249.375,59.125,393.75,201.625,248.0311106253145,239.62938370269836,10.069335690606845,140.06933569060683,130.0,50.21470250443329,168.67284875732702,754.6076081240047,0.0,-155.0,placed,152.345697514654,124.2152162480094,44.02977868343078,object1_placed,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,6,2,Bandaid,Bandaid,0.9580078125,411.0,128.5,546.0,236.75,86.23772211074042,104.80225299725886,-10.634265272435641,119.36573472756436,130.0,131.18111911400575,168.67284875732702,754.6076081240047,0.0,-155.0,placed,126.28364260683306,82.70965448188502,40.23289355729753,object2_placed,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,7,3,Chex Mix,Chex Mix,0.9794921875,129.75,253.375,342.25,443.5,79.45758812062047,451.14604672694134,-21.79579786625942,108.20420213374058,130.0,171.0311170255288,168.67284875732702,754.6076081240047,0.0,-110.97022131656922,placed,152.1011203073593,98.28390370883244,20.55100899668321,,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,8,4,Pringles,Pringles,0.99072265625,142.875,85.625,236.75,211.5,281.2913613521828,389.25867487412705,57.43945789689826,187.43945789689826,130.0,72.63898959963404,278.2261337010051,735.9816985055285,0.0,-90.41921231988601,placed,66.76087140201018,56.96339701105704,93.05486861899314,,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,9,5,Carmex Lip Balm,Carmex Lip Balm,0.92529296875,385.5,142.625,485.5,227.125,124.11589446377837,152.91667047503185,-28.1839356601421,101.8160643398579,130.0,9.248664894637784,278.2261337010051,735.9816985055285,0.0,2.6356562991071257,placed,96.5234052689895,63.61852730465546,9.359697732329177,,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,10,6,Pringles,Pringles,0.9365234375,235.0,60.625,366.0,188.5,263.9982906234319,261.78829609355694,29.79625781735706,159.79625781735706,130.0,99.59234877006885,168.67284875732702,754.6076081240047,0.0,-90.41921231988601,placed,136.4369253583432,65.91708084361255,57.781833767905574,,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,11,7,Burts Bees,Burts Bees,0.9775390625,323.0,101.6875,395.75,157.75,257.06497709818194,174.23417174124404,-40.75968213130983,89.24031786869017,130.0,29.395695394846143,278.2261337010051,735.9816985055285,0.0,11.995354031436303,placed,74.93558810498156,61.97748631070979,11.343853120667745,,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,12,8,Bandaid,Bandaid,0.88232421875,284.75,30.4375,353.0,155.75,283.72895012641425,230.78620038276438,68.32534607568508,198.32534607568508,130.0,84.97078527127049,279.5766279387076,774.5796118766013,0.0,23.33920715210405,placed,69.46185987741512,53.57729975320282,113.65452486282321,,
